date,duration,T,Tmax,Tmin,Rg,Ri_PAR_f,Rh_min,Rh_max,Precipitations,Wind,Rh
2011-05-30,1 day,27.7,33.7,24.1,7.584,7.584,49.0,97.0,0.0,0.5,0.24
2011-05-31,1 day,28.4,34.3,23.8,8.831999999999999,8.831999999999999,40.5,97.0,0.0,0.6,0.2825
2011-06-01,1 day,27.8,34.9,23.6,7.247999999999999,7.247999999999999,42.0,97.0,0.0,0.6,0.275
2011-06-02,1 day,26.3,34.2,23.8,5.3759999999999994,5.3759999999999994,49.5,97.0,18.0,0.5,0.2375
2011-06-03,1 day,28.1,35.0,23.3,8.16,8.16,42.5,97.0,0.0,0.4,0.2725
2011-06-04,1 day,26.8,33.9,24.1,6.912,6.912,53.0,97.0,12.0,0.6,0.22
2011-06-05,1 day,26.7,34.2,23.3,8.928,8.928,49.0,97.0,20.0,0.7,0.24
2011-06-06,1 day,25.8,31.4,23.2,4.848,4.848,60.5,97.0,0.0,0.3,0.1825
2011-06-07,1 day,27.7,33.2,23.6,6.672,6.672,51.0,97.0,0.0,0.3,0.23
2011-06-08,1 day,27.6,33.9,23.4,8.16,8.16,46.0,97.0,0.0,0.5,0.255
2011-06-09,1 day,27.7,35.1,23.0,9.216,9.216,40.0,97.0,0.0,0.4,0.285
2011-06-10,1 day,28.2,35.8,23.6,9.456,9.456,38.0,97.0,0.0,0.5,0.295
2011-06-11,1 day,27.7,34.5,24.1,8.688,8.688,37.0,98.0,0.0,0.5,0.305
2011-06-12,1 day,26.8,33.7,23.5,6.287999999999999,6.287999999999999,47.5,97.0,2.0,0.6,0.2475
2011-06-13,1 day,25.4,31.5,22.2,5.952,5.952,57.0,97.0,14.0,0.5,0.2
2011-06-14,1 day,26.9,33.9,22.9,8.4,8.4,44.0,97.0,0.0,0.5,0.265
2011-06-15,1 day,26.6,33.2,23.8,7.295999999999999,7.295999999999999,49.5,97.0,0.0,0.6,0.2375
2011-06-16,1 day,25.1,30.4,23.0,3.552,3.552,65.0,97.0,0.0,0.6,0.16
2011-06-17,1 day,26.8,33.3,21.6,9.264,9.264,45.0,97.5,0.0,0.8,0.2625
2011-06-18,1 day,27.7,33.6,23.8,9.648,9.648,37.5,96.5,0.0,0.9,0.295
2011-06-19,1 day,27.0,32.9,22.1,8.016,8.016,44.5,96.5,0.0,0.7,0.26
2011-06-20,1 day,27.1,33.4,22.5,8.064,8.064,39.0,97.0,0.0,0.6,0.29
2011-06-21,1 day,27.5,34.2,23.2,7.4399999999999995,7.4399999999999995,43.5,97.0,0.0,0.7,0.2675
2011-06-22,1 day,28.1,33.6,24.0,7.776,7.776,47.5,96.5,0.0,0.7,0.245
2011-06-23,1 day,27.9,33.8,24.7,7.152,7.152,46.0,96.5,0.0,0.5,0.2525
2011-06-24,1 day,27.8,34.1,23.7,9.072,9.072,43.5,97.0,0.0,0.7,0.2675
2011-06-25,1 day,27.6,34.0,23.9,7.92,7.92,45.5,96.5,0.0,0.9,0.255
2011-06-26,1 day,26.8,34.4,21.3,8.4,8.4,36.0,97.0,0.0,0.6,0.305
2011-06-27,1 day,26.2,33.3,22.9,5.952,5.952,47.5,97.0,5.0,0.6,0.2475
2011-06-28,1 day,26.7,32.0,23.0,6.576,6.576,54.0,97.0,0.0,0.6,0.215
2011-06-29,1 day,26.7,34.3,23.6,8.016,8.016,42.0,96.5,11.0,0.7,0.2725
2011-06-30,1 day,25.3,28.8,22.5,4.128,4.128,58.0,96.5,0.0,0.5,0.1925
2011-07-01,1 day,26.3,33.5,22.6,7.871999999999999,7.871999999999999,45.5,97.0,0.0,0.6,0.2575
2011-07-02,1 day,27.4,33.9,22.5,7.871999999999999,7.871999999999999,40.0,97.0,2.0,0.7,0.285
2011-07-03,1 day,27.4,34.0,22.8,8.688,8.688,36.5,97.0,0.0,0.5,0.3025
2011-07-04,1 day,27.1,34.0,23.9,7.92,7.92,43.0,96.5,0.0,0.8,0.2675
2011-07-05,1 day,27.2,33.6,23.2,8.064,8.064,45.5,96.5,0.0,0.8,0.255
2011-07-06,1 day,27.8,34.0,23.7,7.247999999999999,7.247999999999999,44.0,96.5,0.0,0.8,0.2625
2011-07-07,1 day,27.2,33.6,23.5,6.287999999999999,6.287999999999999,46.5,96.5,0.0,0.8,0.25
2011-07-08,1 day,27.4,33.6,23.0,6.672,6.672,47.0,96.5,0.0,0.7,0.2475
2011-07-09,1 day,27.2,33.2,23.0,7.152,7.152,48.0,96.5,0.0,0.7,0.2425
2011-07-10,1 day,26.6,32.9,23.4,5.76,5.76,49.0,96.0,0.0,0.6,0.235
2011-07-11,1 day,26.9,32.4,23.3,7.68,7.68,50.0,96.5,0.0,0.7,0.2325
2011-07-12,1 day,26.9,34.3,22.7,7.4879999999999995,7.4879999999999995,39.5,96.5,0.0,0.6,0.285
2011-07-13,1 day,27.5,34.2,22.5,8.591999999999999,8.591999999999999,33.0,96.5,0.0,0.8,0.3175
2011-07-14,1 day,27.4,34.2,22.4,8.111999999999998,8.111999999999998,37.0,96.5,0.0,0.8,0.2975
2011-07-15,1 day,27.7,34.5,23.3,8.064,8.064,39.0,96.5,0.0,0.9,0.2875
2011-07-16,1 day,25.2,32.3,22.7,4.175999999999999,4.175999999999999,52.0,96.5,5.0,0.7,0.2225
2011-07-17,1 day,25.0,29.7,22.2,4.896,4.896,65.0,97.0,0.0,0.6,0.16
2011-07-18,1 day,26.4,32.0,22.3,7.536,7.536,48.5,96.5,0.0,0.7,0.24
2011-07-19,1 day,26.6,33.3,22.5,6.4319999999999995,6.4319999999999995,42.0,96.5,0.0,0.8,0.2725
2011-07-20,1 day,27.1,33.9,23.0,8.4,8.4,40.5,96.0,0.0,0.8,0.2775
2011-07-21,1 day,27.1,35.0,22.1,8.448,8.448,33.0,96.5,0.0,0.7,0.3175
2011-07-22,1 day,26.9,33.9,22.9,6.287999999999999,6.287999999999999,42.0,96.5,0.0,0.6,0.2725
2011-07-23,1 day,26.3,33.1,22.4,6.816,6.816,47.5,94.5,0.0,0.7,0.235
2011-07-24,1 day,27.2,34.2,21.8,7.68,7.68,41.0,96.0,0.0,0.8,0.275
2011-07-25,1 day,27.6,34.4,23.0,8.208,8.208,35.5,96.0,0.0,0.8,0.3025
2011-07-26,1 day,27.6,34.1,23.3,8.016,8.016,37.0,96.0,0.0,0.7,0.295
2011-07-27,1 day,27.0,33.8,22.3,7.295999999999999,7.295999999999999,41.0,96.0,0.0,0.9,0.275
2011-07-28,1 day,27.1,33.1,22.0,7.247999999999999,7.247999999999999,42.0,96.0,0.0,0.9,0.27
2011-07-29,1 day,27.7,33.8,22.3,7.68,7.68,37.0,96.0,0.0,1.0,0.295
2011-07-30,1 day,26.9,34.0,21.7,7.632,7.632,36.0,96.0,0.0,1.0,0.3
2011-07-31,1 day,26.8,33.6,21.4,8.688,8.688,31.5,96.0,0.0,1.2,0.3225
2011-08-01,1 day,26.5,33.1,20.6,6.816,6.816,43.0,96.0,0.0,1.0,0.265
2011-08-02,1 day,27.7,34.9,22.9,6.384,6.384,39.0,95.0,0.0,1.1,0.28
2011-08-03,1 day,27.0,34.4,23.8,6.816,6.816,44.5,93.5,2.0,0.9,0.245
2011-08-04,1 day,27.5,34.4,22.5,7.584,7.584,37.5,95.5,25.0,0.8,0.29
2011-08-05,1 day,27.4,34.1,22.9,9.024,9.024,43.0,95.5,0.0,0.8,0.2625
2011-08-06,1 day,28.0,34.4,24.0,8.928,8.928,35.5,92.0,0.0,1.1,0.2825
2011-08-07,1 day,27.4,34.3,22.9,8.735999999999999,8.735999999999999,35.0,95.0,0.0,0.7,0.3
2011-08-08,1 day,27.3,33.9,22.4,7.824,7.824,43.0,95.5,0.0,0.8,0.2625
2011-08-09,1 day,27.4,34.9,22.4,8.304,8.304,36.5,95.0,0.0,0.8,0.2925
2011-08-10,1 day,27.0,34.6,21.4,8.4,8.4,25.5,95.5,0.0,0.8,0.35
2011-08-11,1 day,27.4,34.7,21.6,8.304,8.304,33.0,95.5,0.0,0.7,0.3125
2011-08-12,1 day,27.7,34.9,22.3,8.064,8.064,34.0,95.5,0.0,0.6,0.3075
2011-08-13,1 day,27.5,35.1,22.8,7.055999999999999,7.055999999999999,33.5,95.5,0.0,0.6,0.31
2011-08-14,1 day,27.7,35.1,23.2,7.344,7.344,30.5,95.0,0.0,0.8,0.3225
2011-08-15,1 day,27.5,35.0,22.1,8.879999999999999,8.879999999999999,31.5,95.0,0.0,0.9,0.3175
2011-08-16,1 day,27.6,34.0,22.6,7.824,7.824,32.5,95.0,0.0,1.0,0.3125
2011-08-17,1 day,26.4,33.4,22.1,6.672,6.672,36.0,95.0,0.0,0.9,0.295
2011-08-18,1 day,27.4,35.9,21.6,7.055999999999999,7.055999999999999,33.5,95.0,0.0,0.7,0.3075
2011-08-19,1 day,28.1,35.8,22.8,8.688,8.688,33.0,95.0,0.0,1.0,0.31
2011-08-20,1 day,27.4,35.4,21.6,8.544,8.544,39.0,95.0,0.0,0.8,0.28
2011-08-21,1 day,27.6,35.6,21.8,8.064,8.064,38.0,95.0,0.0,0.8,0.285
