Site;ObservationDate;TMin;TMax;TAverage;HRMin;HRMax;HRAverage;WindSpeed;Rainfall;Rg
PR;2016-03-18;22.2;34.8;24.97;67;98;93.88;1.1;33.63;6.87
PR;2016-03-19;23.5;34.3;28.07;63;99;85.46;0.167;0;20.552
PR;2016-03-20;23.3;34.7;28.14;68;98;86.33;0.333;0;18.058
PR;2016-03-21;23.3;34.1;27.9;67;97;86.54;0.37;2.5;18.148
PR;2016-03-22;23.7;34.8;28.48;67;98;87.17;0.315;0;20.218
PR;2016-03-23;24.1;33.7;27.6;77;98;90.67;0.315;0.47;13.362
PR;2016-03-24;23.4;33;26.34;74;98;92.63;0.204;23.63;12.037
PR;2016-03-25;24.2;34.1;27.4;73;99;91.63;0.148;0;15.302
PR;2016-03-26;24.3;33.3;27.02;76;98;93.5;0.093;12.33;11.188
PR;2016-03-27;24.2;33.3;27.21;76;99;93.21;1.212;4.17;10.188
PR;2016-03-28;25.7;34.7;28.66;69;99;89.38;0.185;0;17.392
PR;2016-03-29;24.9;35.1;28.6;69;98;86.79;1.164;0;18.177
PR;2016-03-30;24.2;32.8;27.61;80;97;90.5;0.167;1.04;12.233
PR;2016-03-31;25;34.1;28.93;72;98;87.83;0.407;0.93;18.961
PR;2016-04-01;25.2;32.8;27.69;77;98;92.04;0.222;17.55;11.75
PR;2016-04-02;24.6;33.8;28.2;72;98;89.13;0.389;0;18.008
PR;2016-04-03;24.4;35;28.36;67;98;87.71;0.13;6.33;16.37
PR;2016-04-04;24.1;34.1;28.4;71;98;88.33;0.352;5.34;16.731
PR;2016-04-05;25;34.5;28.7;73;98;88.92;0.39;1.95;16.323
PR;2016-04-06;24.5;30;27.25;86;97;92.25;0.352;0;10.309
PR;2016-04-07;24.2;35.7;28.53;52;98;81.71;0.148;0;23.981
PR;2016-04-08;24.3;36.2;29.05;57;98;83.42;0.278;0;18.785
PR;2016-04-09;22.3;36.3;26.36;63;98;89.45;0.311;16.24;15.057
PR;2016-04-10;21.6;34.1;27.02;61;99;85.25;0.019;0;19.738
PR;2016-04-11;23.2;34.9;28.05;62;98;84.38;0.074;0;19.883
PR;2016-04-12;23.1;31.3;26.94;79;97;91.46;0.111;6.76;10.591
PR;2016-04-13;24.1;35;28.56;69;98;87.21;0.111;0;15.683
PR;2016-04-14;24.2;33.9;27.55;72;98;91.33;0.333;0;17.713
PR;2016-04-15;21.7;31.9;25.95;74;99;91.17;0.297;54.01;15.054
PR;2016-04-16;22.8;34.6;27.91;64;98;85.38;0.093;0;20.164
PR;2016-04-17;23.8;35.3;28.8;62;98;83.67;0.037;0;21.182
PR;2016-04-18;23.7;34.3;28.24;69;98;87.21;0.185;0;18.371
PR;2016-04-19;23.8;33.6;27.7;68;98;89.29;0.037;0;16.266
PR;2016-04-20;24.1;35.6;28.11;66;98;86.21;0.241;0;19.494
PR;2016-04-21;23.5;33.9;28.21;72;97;87.83;0.037;0;15.355
PR;2016-04-22;23.9;35.9;29.08;60;98;84.71;0.111;0;21.477
PR;2016-04-23;24.1;35.9;29.02;65;98;85.75;0.241;0;20.038
PR;2016-04-24;23.8;35.1;28.7;67;98;86.46;0.37;6.53;20.038
PR;2016-04-25;24.2;34.4;28.13;65;97;86.71;0.093;0;15.705
PR;2016-04-26;24.2;33.8;27.28;77;98;91.33;0.185;0;12.34
PR;2016-04-27;23.6;33.9;27.74;76;98;90.88;0.222;1;14.839
PR;2016-04-28;22.1;27.7;24.37;91;98;96.13;0.148;14.25;3.772
PR;2016-04-29;22.2;35.2;28.1;65;99;85.17;0.056;0;20.703
PR;2016-04-30;23.2;34.9;28.23;73;98;88.46;0.259;0;18.893
PR;2016-05-01;24.8;34.3;28.69;70;98;88.38;0.241;0;17.674
PR;2016-05-02;23.4;34.9;28.09;68;98;87.5;0.378;17.97;17.288
PR;2016-05-03;23.2;34;26.83;72;99;92.46;0.056;4.53;15.01
PR;2016-05-04;22.9;33.8;27.08;72;98;90.04;0.111;0;13.578
PR;2016-05-05;22.6;34.4;27.41;67;98;87.13;0.278;0;21.491
PR;2016-05-06;23.6;33.9;27.45;70;98;89.71;0.074;3.94;14.327
PR;2016-05-07;23.3;33.6;28.04;74;99;88.92;0.426;0;19.53
PR;2016-05-08;24.8;33.8;27.93;69;98;88.79;0.111;0;17.939
PR;2016-05-09;23;35.2;28.28;65;98;86.54;0.093;0;20.811
PR;2016-05-10;22.9;32.6;26.75;73;97;88.33;0.148;0.43;16.828
PR;2016-05-11;23.1;34.9;28.08;74;98;88.17;0.167;0;18.663
PR;2016-05-12;22.2;29.7;25.88;80;98;91.67;0.186;13.78;13.661
PR;2016-05-13;23.1;34.1;27.04;71;98;89.6;0.244;0;16.05
PR;2016-05-14;24;32.9;27.27;76;98;91.21;0.37;0;18.818
PR;2016-05-15;23.2;28.9;25.31;87;98;94.67;0.093;0.4;5.995
PR;2016-05-16;21.7;34.9;27.55;59;99;85.33;0.111;0;23.82
PR;2016-05-17;24.6;31;26.92;79;98;91.08;0.389;0;13.784
PR;2016-05-18;23.3;35.1;27.63;63;99;86.17;0.111;0;20.268
PR;2016-05-19;23.6;33.2;27.8;72;98;88.46;0.259;0;17.983
PR;2016-05-20;23.8;34.5;28.4;68;98;86.5;0.333;0;20.599
PR;2016-05-21;24.9;33.1;26.77;74;97;92.83;0.093;0;11.135
PR;2016-05-22;24.2;28.5;25.87;88;98;95.29;0.019;22.47;9.072
PR;2016-05-23;23.5;29.6;25.58;82;99;94.96;0.111;12.49;10.472
PR;2016-05-24;22.8;33.7;27.61;69;98;87.05;0.021;0;15.704
PR;2016-05-25;22.2;32.4;24.62;79;99;95.29;0.148;13.2;8.543
PR;2016-05-26;22;33.4;26.03;74;99;93;0.111;9.9;16.821
PR;2016-05-27;23.6;33;27.73;74;99;90.04;0.241;7.75;17.716
PR;2016-05-28;23.8;32.6;27.28;76;98;90.25;0.148;0;18.695
PR;2016-05-29;23.3;33.2;25.6;78;99;94.17;0.093;0;11.879
PR;2016-05-30;22.6;31.3;25.85;80;99;93;0.056;12.09;12.527
PR;2016-05-31;22.9;34.8;27.46;64;99;88.54;0.019;0;19.077
PR;2016-06-01;24;34.5;27.6;68;98;90.33;0.093;0.46;16.669
PR;2016-06-02;23.7;31.4;26.02;78;98;94.21;0.056;5.1;9.558
PR;2016-06-03;23.2;34.4;26.9;67;99;89.88;0.111;0;19.199
PR;2016-06-04;22.6;33.8;27.81;71;99;87.45;0.162;0;20.131
PR;2016-06-05;24.3;32;27.02;78;98;92.04;0.296;0;15.759
