Site,Date,Tmin,Tmax,Taverage,Rh_min,Rh_max,Rh_average,Wind,Precipitations,Rg,Ri_PAR_f
PR,2016-02-22,24.9,36.4,29.36,58.0,97.0,82.58,0.389,0.0,12.837,6.161759999999999
PR,2016-02-23,25.2,35.3,29.09,65.0,98.0,84.63,0.444,0.33,12.753,6.12144
PR,2016-02-24,24.7,36.8,29.63,53.0,97.0,81.79,0.351852,0.0,16.45,7.895999999999999
PR,2016-02-25,25.3,36.9,29.68,56.0,97.0,81.54,0.426,0.66,12.927,6.20496
PR,2016-02-26,25.3,34.7,28.81,66.0,97.0,86.21,0.352,0.46,11.429,5.48592
PR,2016-02-27,24.4,35.3,28.82,63.0,98.0,85.13,0.352,1.0,13.952,6.69696
PR,2016-02-28,23.8,36.2,29.2,59.0,98.0,83.63,0.556,0.0,14.017,6.72816
PR,2016-02-29,24.9,36.3,29.59,59.0,97.0,82.5,0.481,14.0,16.245,7.7976
PR,2016-03-01,22.2,33.1,26.93,67.0,98.0,88.42,0.447,21.7,12.722,6.10656
PR,2016-03-02,23.6,35.8,28.68,57.0,98.0,81.96,0.444,0.0,18.152,8.71296
PR,2016-03-03,23.3,36.0,28.63,59.0,98.0,83.5,0.463,0.0,16.939,8.13072
PR,2016-03-04,23.7,36.7,29.4,56.0,98.0,82.33,0.519,5.03,18.343,8.80464
PR,2016-03-05,22.6,27.6,24.88,92.0,98.0,95.0,0.111,15.5,3.851,1.84848
PR,2016-03-06,24.1,33.8,27.6,68.0,98.0,88.0,0.148,0.0,11.969,5.745119999999999
PR,2016-03-07,24.5,36.3,29.2,56.0,98.0,79.3,0.3,0.0,19.966,9.58368
PR,2016-03-08,24.6,32.9,27.19,71.0,97.0,91.21,0.13,1.37,10.797,5.1825600000000005
PR,2016-03-09,22.8,35.4,28.32,59.0,98.0,84.33,0.259,0.0,20.383,9.78384
PR,2016-03-10,24.8,35.6,29.21,61.0,98.0,84.83,0.5,0.0,18.562,8.90976
PR,2016-03-11,25.2,35.3,29.28,66.0,97.0,83.92,0.426,0.0,15.913,7.63824
PR,2016-03-12,25.0,36.3,28.57,61.0,98.0,85.88,0.426,5.23,16.789,8.058720000000001
PR,2016-03-13,21.1,32.8,25.07,69.0,99.0,92.75,0.389,57.0,9.828,4.71744
